puuid,match_id,team,positions
yB6v1ce7-1kG8DWKvjvQSdSrek5296qRYnEFDfbsDoERFSi3NkAkyFLlSM_ZUxJM0v8sU6hY2UoS6Q,EUW1_7683543892,0.0,"[(662, 285), (3248, 8116), (6806, 5015), (10923, 4921), (2610, 8222), (8449, 2325), (9021, 6455), (2400, 8731), (8722, 3679), (4089, 9948), (4803, 7892), (3082, 11946), (8690, 2463), (12625, 5569), (3104, 7425), (10310, 5227), (1346, 2388), (13705, 4556), (10047, 3287), (11073, 4833), (11874, 2638), (2609, 8270), (3438, 8604), (7595, 10992), (12481, 6536), (10660, 4944), (7870, 11747), (5588, 6242), (3318, 13489), (4910, 10212), (6993, 4933), (4347, 3849), (12790, 11707), (12942, 13671)]"
b91ut4kVYKDpC9MvotLaPPYJlUQ0C1TcuowS64Zt847rvzGXLJvFsSnxifcvMvNOa3nsWFd5X2eLLQ,EUW1_7683543892,0.0,"[(362, 135), (7062, 7101), (6649, 6520), (7721, 7069), (6734, 6862), (6263, 6360), (6853, 6785), (2892, 2286), (7595, 7605), (6906, 8923), (7469, 7281), (3184, 12761), (6369, 8318), (9439, 5510), (7641, 7862), (7634, 7293), (948, 571), (13353, 3914), (13267, 3673), (13172, 6155), (3440, 13247), (4953, 11630), (4222, 8570), (8976, 9411), (10796, 12792), (6789, 1251), (8658, 8980), (10262, 9892), (6934, 11409), (5096, 10230), (12376, 12293), (8823, 8588), (11551, 13477), (12961, 13650)]"
N634huQNsHK8uFPlK8Uyt-rlTuzBvUhOXfpPpf53uUucPWYRhAQLbUAEAIYtFQRFXJ_TYMt4c2Begg,EUW1_7683543892,0.0,"[(130, 401), (11918, 2032), (11484, 1325), (12134, 2850), (11498, 1378), (10775, 1147), (12067, 2143), (5136, 1369), (9430, 3636), (10726, 1232), (13041, 2712), (12054, 1723), (7017, 1111), (11298, 4840), (12103, 4646), (12722, 3959), (10149, 1164), (13480, 2734), (5721, 5901), (7323, 7146), (8134, 8268), (5918, 8101), (4182, 9610), (8610, 9005), (7358, 13184), (4539, 4559), (7569, 11124), (10581, 9038), (5905, 13556), (4402, 10084), (10742, 6356), (8650, 7676), (12884, 10888), (12703, 12382)]"
YYzYwR7Gy4RnsfL0_jUekOSrUmiQQOB5wqWXgdNontlGST8OitGeOomULncXuAZaDwlRJj6_dEeVzQ,EUW1_7683543892,0.0,"[(298, 675), (11847, 2003), (10996, 1720), (11933, 4722), (11305, 1657), (6894, 1185), (6322, 2393), (7631, 2296), (8663, 3913), (11200, 4190), (12669, 2843), (12539, 1696), (10670, 2499), (12372, 5406), (12124, 4822), (11922, 4265), (10269, 1591), (10586, 863), (13664, 3663), (394, 461), (8009, 7934), (4866, 8797), (4777, 6844), (9217, 11350), (5263, 3325), (10997, 6178), (7972, 10626), (5589, 6204), (7980, 11807), (5312, 10599), (10250, 6177), (10007, 8160), (13457, 10665), (12407, 12384)]"
6TTE8z7vnxneVPNZXirfkaJ9srfxOf5C3ckZqKG1HFO_2-magfbIrffAvj17E9VFfcpi0he3sOAVCw,EUW1_7683543892,1.0,"[(14103, 14195), (2998, 13030), (3161, 13622), (1875, 11802), (3152, 13754), (2733, 13323), (1947, 11753), (4216, 13721), (2617, 13513), (2930, 9869), (4492, 13388), (3019, 13025), (2407, 12447), (9322, 5609), (6812, 13530), (2991, 13190), (4767, 13753), (2046, 11691), (2693, 11827), (4283, 13657), (3671, 13888), (5007, 10202), (3174, 9064), (7828, 1366), (12755, 11705), (8127, 3450), (12866, 7118), (5970, 6623), (6696, 11710), (8221, 13416), (11596, 7015), (12318, 9505), (12712, 12635), (12976, 11428)]"
HPqcmXYqwPi9gHfvPo1dEXUcwujPe_uUCDbBScVcYr4Hwte32GKNgRH5SCdI_cVZ5kOagQIDLu8oEQ,EUW1_7683543892,1.0,"[(14426, 14170), (11263, 7348), (10364, 7874), (5071, 8828), (11781, 6570), (5025, 12281), (7159, 12363), (10196, 4595), (13022, 13862), (3809, 10065), (7038, 11230), (11663, 10035), (7293, 11412), (10605, 4712), (7793, 10560), (10511, 5004), (11750, 7530), (13270, 5461), (14042, 4209), (7453, 11189), (3695, 13647), (4746, 10282), (3846, 8397), (9100, 11138), (12184, 9852), (8334, 3520), (9906, 9299), (13402, 13752), (8665, 11387), (10097, 7095), (14344, 14365), (10498, 10500), (14080, 10056), (14080, 10056)]"
Sh0FtYfVuYFKXoexh5NHXu0-_VomcVbPQKbu23emZ2LMHmZN-jmsTyiISCYKI4ViQIT97IPCAXH75w,EUW1_7683543892,1.0,"[(14321, 14673), (7695, 7495), (7162, 6831), (7811, 7371), (11678, 4662), (7475, 7184), (8161, 7580), (8561, 8447), (8653, 8856), (8426, 8388), (10308, 10152), (3088, 12831), (10165, 9958), (10238, 4673), (8497, 8006), (6955, 6505), (8651, 8570), (6408, 6783), (10576, 5498), (9690, 9687), (8738, 8733), (3590, 11478), (3762, 10435), (13386, 12564), (6682, 11412), (6074, 6308), (9006, 9136), (7071, 6719), (8869, 13011), (8252, 10219), (6416, 4769), (14340, 14391), (13688, 9403), (13688, 9403)]"
a7X6Nd2lHadzG5PVuH6jr5hGHeaLglRR2rDRFPF4u8Qy09IcQJVMx2eFZ2-fZNF1EERzEYTJCohjAw,EUW1_7683543892,1.0,"[(14589, 14454), (12738, 3105), (12005, 2087), (12984, 3961), (11968, 2149), (11991, 2551), (13467, 4182), (11146, 4059), (10202, 3271), (11558, 1928), (13663, 4218), (13047, 2950), (14052, 9426), (7828, 13603), (10600, 10215), (12378, 3308), (11664, 2094), (13656, 4850), (9054, 5841), (11752, 3353), (11522, 1819), (8847, 9026), (4343, 10093), (7374, 8992), (10281, 10240), (6301, 6161), (9540, 9096), (12521, 14068), (4192, 13534), (7901, 10502), (11432, 3831), (8693, 13873), (13454, 10334), (13454, 10334)]"
tqwbeiAirx_NtSo9_vVcJxdWwu91G3crKP3CpAwMeh0MtuxmqK0tFOjA2SYw7P2i0IjPfMgz4fyBfQ,EUW1_7683543892,1.0,"[(14055, 14493), (12783, 3059), (12090, 1799), (13052, 3340), (12074, 1822), (12535, 2072), (12781, 1941), (8702, 4264), (9066, 3935), (11763, 1932), (11293, 4773), (13102, 2509), (11824, 10744), (10052, 4979), (13120, 5083), (12794, 4125), (11840, 1894), (14019, 4426), (13402, 3953), (12679, 7269), (7914, 7916), (9454, 5627), (5760, 9066), (9398, 10061), (12206, 9681), (8234, 3453), (9054, 6743), (6894, 6789), (8043, 11965), (10122, 9506), (12006, 6864), (10801, 10341), (13573, 9841), (13573, 9841)]"
HuhVRFS4be4ALCo_yWVskx3R_Qr7xUCgi62fgE7UMPMKhsmsS4VPUS2PHE-Y16GAC19XVNvZnxjW2g,KR_8027863831,0.0,"[(603, 611), (1863, 13027), (1309, 11276), (1458, 11986), (3103, 13520), (1985, 11971), (2331, 12244), (1760, 10532), (2196, 12143), (2227, 12325), (1289, 11427), (1520, 11177), (547, 1369), (2965, 12707), (5547, 3492), (2561, 12403), (1646, 10861), (568, 1258), (3230, 12878), (7157, 6265), (8427, 4880), (11850, 9309), (7472, 7689), (4334, 7328), (1344, 6939), (3174, 13308), (9572, 3140), (7478, 4822), (612, 835), (6654, 9949), (6542, 1485), (4244, 2403), (2416, 2103), (9684, 4508), (2957, 3074), (3976, 4452), (6479, 9297), (5218, 2534), (3352, 3987), (10302, 9749), (6633, 6620), (10766, 10230), (12575, 12962)]"
