puuid,region,rank
1LfOZia3UKW6M5bWrp-rnHIaZfculYh6BQT-b9Py6d9_Uhcgufgh-3diwFzj69o4N8X8FIiEYqB7Gg,eun1,CHALLENGER
I5o1odduLdYqvG5aHjeLMyZYDc8oA-Z0OOOp4WS0xvIUxqrE-lEbh-PIuFONzzYba8fu9o49tTc1Kg,eun1,CHALLENGER
dV5EKfFsHjo0G7BEUW4ScVbP-JHEHtUnri-g1VToMtT8eD4l8CNBdlo7JInWTaE0rHCxZpQ3Fg3g_g,eun1,CHALLENGER
BoDceOioEubZmMb7-32lpgugzcRZheC92IVOQc-hjaHFZoVCDBAWBWzDiNVNuT0SVbtG78Mdfnu6SA,eun1,CHALLENGER
RL61p0BTAnDeSJGpjqE8ojLyf87vIDDdfC7AcmgsW73yKb5ZjXdLVr4arrWp07OqpNFGvHOylAyiSQ,eun1,CHALLENGER
t1e0MvaChb-ol8UwAOMcHZqVNmtV2JuNiZcL8fuEWEfFR_ln83Nx-GqQphutBG17P6k0F7lUAbqf1Q,eun1,CHALLENGER
9zbXBzl_08_0UPJxEl8AqETKgGJK48-qNt0VD8X-xkwrZows7JrHeul78oTotdpQRxkaebSYfJuVZQ,eun1,CHALLENGER
QmwgLMEsbXgGMjHJEB4PUBwE8UhiRHHIzGNHs_xVVNxjBLL26UF_VSqtUweoR5WliqQQ0NTB_7u4kw,eun1,CHALLENGER
67Dg7v1misojr16XllNrt19ImpC0_XQx0LDCxscijTAgzzaTxuHVHwaQFkzx_NXvySPgKmFryVOvig,eun1,CHALLENGER
OAvAb16uetsY_2NNRmoO7yM62BEMrtD0ogZD7RKJVTcrmqfglifZovuXi74j8m58y8a09JLPd_EwKA,eun1,CHALLENGER
MSGba9ARpIfNNlzBqx1txvHyqNhlgYf-YWJ6ggNEJFb6wZJAYmlpls94rYXveZKZXBTr9lilQOzwuA,eun1,CHALLENGER
mDAIEKW-6WyTXJWieKCgQoM9le2JxjekCtKEEtihf7tPYX4V8SRx01Z8mQoF3HRx9nefg69l-sbTtg,na1,CHALLENGER
-8tabPbvzf-0K_WyxoSkJTCr4cVt2_64Prn5cl_wNCDy5X_cMWLNClJrn_ShpkPyHcz7b7u8GjN6Zg,na1,CHALLENGER
tvzTcH0abjmLFuFkwUSCB7Z8nfmC3cYHuxmWVnVgvE03nfIWJopriCSZ2DpwhlY5576-I7Hz7O0cJg,na1,CHALLENGER
Et4kv4B2sX6IQ6pWcyEIK7ex_ocp9EEeLAHJL_7b9MzQs10y0pqAAaZ_xmhXv_Eu7vbx9AWg11r4YA,na1,CHALLENGER
