puuid,region,rank
YrJj77XfZtLm-_wgKGKcAKR0KxY4yGOzfo1SIKM8z6saBBt0wbBqUGE8Byu0yv3VpzRtI0xdPEWtaQ,euw1,SILVER
5-IaPaI0Jy6WaG9i0OtqgBdECMTIDWpkfuSOdyu1M5tMfZnI6OX5Vw8iOpCOoEi21613Ua-hlQZXCg,euw1,SILVER
VuSknO8yn6zwoGVNb1_AD3gFBcvHPeljCG-yhWDhK8V3Gfu4jPXFaLc_mHfHwV8Qfbf2m59pqBCPeg,euw1,SILVER
nP7VBTtN4I6MIKfHNM3qUVHy7Ng3G_5822xvW4mMfYzbe9hOQ9dXoHCEMFs4rSbpbIIPE4NNw7WuzQ,euw1,SILVER
vK4fPtVKah318aJ_9Zw9hESN7y_3lPsei9DCvi4V7J9RHtxRVy6rroFxOLuDq1eRW5wWESC7A3Y1Gw,euw1,SILVER
NmATm-3G86KVu-38GAEoajJ0mWpEg8rMC6ChwjUHT2mSJkBSebQppsRsXNtlMRNLBEQiJzZQMK11sQ,euw1,SILVER
YOr_PSnI815JW5ugxZk7-MQ9fZzPQ6HuDZdZbD8X5ewYKX2N1EqaMaYwrdEcBuHQ2VaCX_7EOmn6CA,euw1,SILVER
Li0p7RxXGqVD9mia_OH7eDC1dd46VfnMLmDLpQg31TVQNvEmv_2SPXa9KOoVwCv60FXpGHBa5Jq9dw,euw1,SILVER
UjNXP7P3hlRSTKLRyTOxTKS-XJZyo5WFdfQqPhwtmUscKF-wz8p3CBdjkPS6GWUCjTtTxlI_IyK3HA,euw1,SILVER
m7YqJUH_MwiIxJPjVSlUcvimjafoVTdTm0MV-37ZJuPq5-JxS10RC5B4ipAMHkwdWLfNorp8O8w8eg,euw1,SILVER
_9OP4lXekN4ER7NZQZvX2pzcCgGbqH8xSAW4XAJD5-AL6mTj3y-0aLV7RDoF0k6-JNAzfs3lWXWnPA,euw1,SILVER
Oglq_cFMkPYjwvn5R3qq9Y8ux2ctzZb0Uivcr8L3qX4kBmhQFnCk781wnRyIsjx9q1PAUIEXHNthug,euw1,SILVER
OJOPLEPBl9HDSZvccLhWajUkpW_jqiJflkSXCWcpddXDkr0_AhjAZh50MGat1bxiHyJ8q6o9-aI_rw,euw1,SILVER
dMFDBYzoXJPQJNXyi4Af0rzNuvmGh401RSyhvoWCjNIu3vNnokpxetc7DzYMu87ycipokrWVdfoM6w,euw1,SILVER
94lU1rd0wS8Yve_eD5WHBMrnN3lO1FS0O6kWk3ymgXDo4LIJpwddcUkZDQ_mTvbBjqLcUNVIvn4Rpg,euw1,SILVER
45_abopjuXBWx3LovxOfN9581g6DOSz-H5jZSmWcJcRgjCP4TPnGzDp8JdhQfbCL2-teWNvNSu6Yyg,euw1,SILVER
jMjP22X1WuOrsJ8_mEiCPshMs6wqFqeJARGNGPMU9hBIvD0FU60ZM20dWnXOIzC5v9domVbdeSWChg,euw1,SILVER
LPBN5FwvWN3j2MZWqtBBR0Y3xIrUC9xY61yeg_DtfcyPNB7zISxsnnJMb1pqvSL3ZQrZxTsjqqY6Bg,euw1,SILVER
hwjv2aD_7NCCfhxmuZxbDLd-AcnvyFy-wO8iFnU4U0oADQqTVIQ8GyAwpGEWMRnFFhfWlvtL1EfVGA,euw1,SILVER
